name,weekly_downloads
semver,832321560
minimatch,692427757
debug,684988936
ansi-styles,664585573
lru-cache,531834740
strip-ansi,505190310
chalk,490712867
supports-color,486947862
string-width,482535189
commander,476596961
ansi-regex,469060464
picomatch,457191479
tslib,418128752
wrap-ansi,417859264
glob,385303121
eslint-visitor-keys,379493610
type-fest,366786670
ajv,365940707
source-map,350763679
react-is,350073583
escape-string-regexp,344450714
color-name,340714138
readable-stream,333710426
color-convert,332938296
p-limit,317731720
glob-parent,316015481
find-up,313678294
which,312427210
json-schema-traverse,311023837
p-locate,304487697
ignore,301525994
safe-buffer,294546548
js-yaml,292265394
uuid,275392292
entities,273974169
signal-exit,271813497
postcss,271618690
mime-db,262653240
path-key,260997794
typescript,260311793
isexe,259918375
locate-path,256195620
esbuild,255499108
zod,254388559
argparse,253461852
ws,252462534
acorn,245149532
yargs,243834562
string_decoder,242717786
minipass,242590094
yargs-parser,241973267
isarray,240529618
https-proxy-agent,236535244
nanoid,234317076
cross-spawn,229920572
resolve,228124141
estraverse,226723931
cliui,225725504
json5,222933649
picocolors,220252956
shebang-command,215995668
shebang-regex,215962292
convert-source-map,211443156
whatwg-url,211079188
fs-extra,210838313
pretty-format,210250369
eslint-scope,208779974
path-to-regexp,207859503
strip-json-comments,206251407
chokidar,203783258
resolve-from,199110244
get-stream,194823763
fast-deep-equal,194585650
cookie,192262652
caniuse-lite,189254423
graceful-fs,187750933
tinyglobby,187133435
is-stream,186973707
negotiator,186438472
path-exists,186183422
browserslist,185794388
yocto-queue,185418796
is-glob,184410364
es-object-atoms,182744560
yaml,182632904
magic-string,182246606
get-intrinsic,181720475
statuses,180256203
node-fetch,179647895
hasown,178810630
qs,178536190
es-errors,175639961
is-extglob,173686805
form-data,173629806
jsesc,173461572
content-type,173009071
path-scurry,170333141
fdir,169922322
jiti,169694856
source-map-js,169360816
is-number,168686673
lodash,167905798
dotenv,166343119
update-browserslist-db,165634969
espree,165429830
estree-walker,165284990
scheduler,164365646
vite,164321250
get-proto,163372883
react,163083190
http-errors,162956122
object-assign,162515629
universalify,161018752
buffer,160384375
undici,157292739
rimraf,157259082
execa,157199287
eslint,156253918
eventemitter3,156093289
micromatch,156038799
to-regex-range,155867625
object-inspect,155477487
baseline-browser-mapping,154017910
react-dom,153891199
csstype,153151750
pnpm,152973084
flatted,152559943
callsites,152400985
fast-json-stable-stringify,152041077
flat-cache,151771867
file-entry-cache,149497839
safer-buffer,149350151
fast-glob,148881898
concat-map,148583977
strip-bom,147527348
camelcase,147370670
once,146901476
side-channel-list,146367529
parse5,143483914
esquery,142507188
npm-run-path,141498688
postcss-selector-parser,141237838
finalhandler,141178047
fast-levenshtein,141026630
ini,139795817
acorn-jsx,139192666
parent-module,138999094
raw-body,137981190
type-is,137786517
gensync,137781362
json-buffer,137482789
media-typer,137433192
math-intrinsics,137430967
pathe,137295683
send,136718994
side-channel-map,135863208
normalize-path,135425455
side-channel,134943506
jsonfile,134000995
base64-js,133386431
http-proxy-agent,133332176
source-map-support,132659995
open,132601558
parse-json,132164969
enhanced-resolve,131457657
get-caller-file,130572728
on-finished,129339864
prettier,128960127
fastq,128912276
ts-api-utils,128390595
fresh,128362839
lightningcss,128358894
express,127296948
cosmiconfig,126572523
import-fresh,125076349
mkdirp,125029242
require-from-string,124506718
bytes,124239243
ansi-escapes,123577174
doctrine,122473991
proxy-from-env,121212891
tailwindcss,120828649
rollup,120597717
range-parser,120436148
axios,119805667
run-parallel,119576867
require-directory,119298897
is-plain-obj,119121974
loose-envify,118832836
queue-microtask,118778547
schema-utils,118511469
encodeurl,118201756
tinyexec,116970927
clsx,116956842
jest-worker,116665395
delayed-stream,116235788
merge2,116124846
combined-stream,116024052
cli-cursor,115990850
restore-cursor,115966909
lightningcss-linux-x64-gnu,115814128
asynckit,115641564
slice-ansi,115362661
is-docker,114315546
anymatch,113942120
side-channel-weakmap,113941975
jose,113597507
jest-util,113536930
jackspeak,112162692
toidentifier,111472891
path-parse,110970363
escape-html,110094192
supports-preserve-symlinks-flag,108331271
ieee754,108136861
chai,105894628
css-tree,105564792
prop-types,105460304
buffer-from,105058335
ee-first,104950633
vary,104712466
unpipe,104672306
etag,104393119
which-typed-array,103472061
core-util-is,101913960
follow-redirects,101529987
async,101448222
indent-string,101289933
domhandler,101151740
arg,100767044
is-arrayish,100438626
dom-serializer,100366831
rxjs,99958688
path-type,99928382
tsconfig-paths,99640532
strip-final-newline,99626673
log-symbols,99418132
use-sync-external-store,99131482
date-fns,98305312
p-try,98150876
std-env,97817142
object-keys,97656688
lucide-react,97446309
forwarded,96359833
proxy-addr,96224591
d3-array,95962109
eslint-plugin-react-hooks,95794152
postcss-value-parser,95640531
get-tsconfig,95081792
tar-stream,94994940
is-typed-array,94784483
end-of-stream,94703853
available-typed-arrays,94517633
binary-extensions,93575466
object.assign,92493867
globby,92330424
fs.realpath,92260773
merge-stream,91663357
data-uri-to-buffer,91557407
define-lazy-prop,91505378
assertion-error,90506531
deepmerge,90358897
htmlparser2,90348747
lightningcss-linux-x64-musl,90294608
possible-typed-array-names,90260045
vitest,89744366
html-encoding-sniffer,88718568
rolldown,88673490
ajv-keywords,88310890
typescript-eslint,87929172
is-date-object,87534382
d3-shape,87431779
saxes,87354816
d3-path,87136825
gaxios,86934826
playwright-core,86541732
istanbul-lib-instrument,85442793
sax,85255833
define-data-property,85157256
is-string,85151485
ora,84614161
is-boolean-object,84526305
is-number-object,84345711
html-escaper,83948770
sharp,83848387
node-addon-api,83766852
dequal,83634450
tar,83266800
tiny-invariant,83188913
clone,82487755
cssesc,82237625
is-array-buffer,82233259
tsx,82007387
fast-xml-parser,81845989
react-refresh,81370404
typed-array-length,81060775
pirates,80746975
playwright,80091572
tailwind-merge,79980725
bl,79323684
p-map,79168507
w3c-xmlserializer,79080573
jws,78985070
split2,78626427
is-map,77830498
google-auth-library,77798443
typed-array-byte-offset,77658061
typed-array-byte-length,77622615
why-is-node-running,77605965
expect-type,77485807
which-collection,77400607
d3-color,77092930
safe-regex-test,77006026
tmp,76892985
terser,76885766
jest-diff,76723535
is-promise,76621334
css-select,76291678
d3-time,76124311
protobufjs,76074596
is-binary-path,75956460
gcp-metadata,75927900
minizlib,75752832
figures,75702436
data-view-buffer,74787585
colorette,74591865
mute-stream,74375299
shell-quote,74259927
d3-timer,74252823
d3-time-format,74232421
events,74112173
xmlbuilder,74027677
is-plain-object,73761874
is-async-function,73195055
nopt,72963465
react-remove-scroll,72802305
d3-scale,72770397
cli-spinners,72698888
strip-indent,72640557
d3-ease,72102001
jest-matcher-utils,72090823
internmap,71942872
is-potential-custom-element-name,70818623
xml-name-validator,70773853
is-shared-array-buffer,70682935
aria-hidden,70363884
typed-array-buffer,70305074
array-includes,70289512
object.values,70067392
mimic-response,69936511
strnum,69640219
jest-mock,69126179
event-target-shim,69102252
async-function,68717194
has-proto,68509822
array.prototype.flat,68405909
array-buffer-byte-length,68311605
css-what,68101469
array.prototype.flatmap,68018400
decamelize,67728996
hermes-parser,67599514
hermes-estree,67448648
regenerator-runtime,67226985
destroy,67187580
fflate,67146054
extend-shallow,67092471
safe-array-concat,66948876
env-paths,66497512
object-hash,66485915
dayjs,66474779
object.fromentries,66161413
redent,66130407
dedent,66100105
is-path-inside,66097137
nth-check,65868781
pure-rand,65498756
google-logging-utils,65079002
neo-async,64754886
axe-core,64662861
eslint-config-prettier,64610602
xmlchars,64269901
methods,64001065
object.entries,63900789
autoprefixer,63802711
cssstyle,63763648
marked,63447203
ast-types,63402426
expect,63135428
sisteransi,62911581
webpack-sources,62165302
array-union,61887805
test-exclude,61858979
stop-iteration-iterator,61790539
dompurify,61751417
eventsource-parser,61689883
jest-haste-map,61248011
string.prototype.matchall,59979756
eslint-module-utils,59668213
jsonc-parser,59140371
router,59069045
eslint-import-resolver-node,59015724
obug,58867412
eslint-plugin-import,58800398
safe-push-apply,58777313
set-proto,58711028
unist-util-is,58493875
loader-utils,58326661
array-flatten,58268666
postgres-array,58246485
eslint-plugin-react,58219303
react-hook-form,58195418
unist-util-visit-parents,58064451
unist-util-visit,58039398
tar-fs,58008557
jsx-ast-utils,57988165
unplugin,57933907
lz-string,57918053
express-rate-limit,57845963
zod-to-json-schema,57783062
any-promise,57756590
isobject,57544671
is-extendable,57507198
dom-helpers,57178731
unist-util-stringify-position,57113299
immer,57010454
recharts,56948933
buffer-crc32,56931509
define-property,56858348
